Datetime,Adelaide Metro to Mid North,The North to Mid North,Riverland to Mid North,South East to Mid North,PEC to Mid North
2045-12-10 22:00:00,-1.24078987104,0.05896208753900012,0.3509,-0.135971794483,0.0
2045-12-10 22:30:00,-1.22321288684,0.0587312135112259,0.3509,0.06782814667277415,0.0
2045-12-10 23:00:00,-0.9834109605430785,-0.01858395226869547,0.3509,0.06196886997677403,0.0
2045-12-10 23:30:00,-1.1837205347992084,0.14023856779641908,0.3509,0.019884437443774106,0.0
2045-12-11 00:00:00,-1.0891362387630785,0.35708247828655193,0.3509,-0.03698911454147291,0.0
2045-12-11 00:30:00,-1.28739402359,0.27064979961021074,0.3509,0.044058710000774104,0.0
2045-12-11 01:00:00,-0.9904139310230784,0.009975050998288548,0.3509,0.04496393066077409,0.0
2045-12-11 01:30:00,-1.16843414014,0.4083099125716819,0.3509,0.05712867295977403,0.0
2045-12-11 02:00:00,-0.9047164151930784,0.23257113524806336,0.3509,-0.17431523266600002,0.0
2045-12-11 02:30:00,-0.8724364431130784,0.41688766984247616,0.3509,-0.160076070415,0.0
2045-12-11 03:00:00,-0.8506508188530784,0.12504431383066683,0.3509,-0.163435315306,0.0
2045-12-11 03:30:00,-0.8164299974623875,0.3542420863873662,0.1176259605290425,0.19903543581597874,0.0
2045-12-11 04:00:00,-0.7133590732580195,0.1100710713455777,0.18666909945450683,-0.045622980904695215,0.0
2045-12-11 04:30:00,-1.0828572184,0.3117560371148862,0.15496278905745892,0.19520122809497875,0.0
2045-12-11 05:00:00,-0.7119118338152179,0.31459753014389746,0.16545449435744586,-0.09335645097755572,0.0
2045-12-11 05:30:00,-0.6716704873302028,0.13285191560699583,0.26756568475680004,0.24329881603513814,0.0
2045-12-11 06:00:00,-0.7767949323480197,0.31591651910438345,0.3509,0.3221647378812835,0.0
2045-12-11 06:30:00,-1.12866424065,1.0335206234041405,0.3509,-0.04242766210769511,0.0
2045-12-11 07:00:00,-1.0073917336015277,0.4649411708665274,0.3509,0.4631013866789999,0.0
2045-12-11 07:30:00,-1.2755922978669259,0.7440365053909999,0.3509,0.28248972833092595,0.0
2045-12-11 08:00:00,-1.2679007819502288,0.04268032655551779,0.3509,0.35403595999362586,0.746744482472
2045-12-11 08:30:00,-1.1582928091587381,0.07311375020053235,0.3509,0.48891308337522593,0.8
2045-12-11 09:00:00,-1.4125667556199022,0.1271173452089737,0.3509,0.17776577265294358,0.8
2045-12-11 09:30:00,-1.474568996232902,0.5021197495623049,0.3509,0.05593048032094233,0.8
2045-12-11 10:00:00,-1.5959515931417176,0.5412491808096749,0.3509,0.10697937217194226,0.8
2045-12-11 10:30:00,-1.3336894374897188,-0.056312631080323694,0.3509,0.12760823342994237,0.8
2045-12-11 11:00:00,-1.3832078858637753,1.2171831485486746,0.3509,-1.3596,0.8
2045-12-11 11:30:00,-0.4081368025979213,0.5350459603556349,0.3509,-1.3596,0.8
2045-12-11 12:00:00,0.0315783906957,-1.6434,0.3509,1.090562462357,0.8
2045-12-11 12:30:00,-2.297903915917869,0.7641187587278689,0.3509,-1.3596,0.8
2045-12-11 13:00:00,0.118510230266,0.8204073596649999,0.3509,-1.3596,0.8
2045-12-11 13:30:00,-2.500243632373,0.8662057729930002,0.3509,-1.3596,0.8
2045-12-11 14:00:00,0.0310686489756,-1.6434,0.3509,-1.3596,0.8
2045-12-11 14:30:00,-0.6372688878900004,-1.6434,0.3509,-1.3596,0.8
2045-12-11 15:00:00,-0.04262557404959999,-1.6434,0.3509,-1.3596,0.8
2045-12-11 15:30:00,-1.0297837643800005,-1.6434,0.3509,-1.3596,0.8
2045-12-11 16:00:00,-1.02085296792,-1.6434,0.3509,-1.3596,0.8
2045-12-11 16:30:00,-0.9709831337500001,-1.6434,0.3509,-1.3596,0.8
2045-12-11 17:00:00,-3.0575394312840007,0.6403106211440003,0.3509,-1.3596,0.8
2045-12-11 17:30:00,-3.0057387434000007,1.6434,0.3509,-1.3596,0.0
2045-12-11 18:00:00,-1.5490299629649993,-1.103697287608,-0.3509,0.798155019163,0.0
2045-12-11 18:30:00,-1.19277224184,0.10614014917580006,-0.3509,-0.45274360467580005,0.0
2045-12-11 19:00:00,-1.2711123287600001,-0.4263481423796993,0.020839798548,0.03125414217169997,0.0
2045-12-11 19:30:00,-1.3325632867319652,-0.9107586607351444,0.32564998393878053,0.25348390496117407,0.0
2045-12-11 20:00:00,-1.38144314415,0.19514523899868452,-0.154856859261,0.024803536740300114,0.0
2045-12-11 20:30:00,-1.37960428627,0.23850862338893464,0.23483665908776552,0.039243683916299954,0.0
2045-12-11 21:00:00,-1.3108255390974544,0.023963420296342353,0.3509,0.11584785731809699,0.0
2045-12-11 21:30:00,-1.30670067688,0.4739098055311819,0.08726769824494429,0.278116446519874,0.0
2045-12-11 22:00:00,-1.0421097684830785,0.28531483612520847,0.3509,0.00497255113486994,0.0
2045-12-11 22:30:00,-1.1652008102098477,0.3964154602912582,-0.139813224197,0.2483293773275741,0.0
2045-12-11 23:00:00,-1.0061236476930784,0.21085291423846741,0.05829598130587699,0.4297024147397341,0.0
2045-12-11 23:30:00,-1.1550819076030785,-0.10770390779314007,0.3509,0.5660106960568,0.0
2045-12-12 00:00:00,-1.37154255094,0.24805080456499984,0.3509,0.559196261857,0.0
2045-12-12 00:30:00,-1.3320835347,0.23089275203783027,0.30518293245398553,0.6373395732581841,0.0
2045-12-12 01:00:00,-1.25605395519,-0.12178316957077999,0.1380946015698799,0.7473019236905701,0.0
2045-12-12 01:30:00,-0.9316022015926224,-0.006723336922473636,0.21458245406315601,0.60667019010294,0.0
2045-12-12 02:00:00,-1.0357562247121832,-0.037686983723446144,0.09045271334499999,0.8505714131996291,0.0
2045-12-12 02:30:00,-1.12358831411,-4.1388978899936646e-05,0.3509,0.6428949203209,0.0
2045-12-12 03:00:00,-1.10950046308,-0.12344617740289086,0.09562734102500003,0.8903858247443367,0.0
2045-12-12 03:30:00,-1.0905545584417373,0.28333734528993726,0.09691389851300003,0.6156692575831,0.0
2045-12-12 04:00:00,-1.10207266214,-0.11717466621014427,0.09645998182400001,0.6111901614792999,0.0
2045-12-12 04:30:00,-1.10942057777,0.04177295293096939,0.095636295999,0.5855432867934,0.0
2045-12-12 05:00:00,-0.7795227426780196,-0.14838571018400995,0.13764298156735125,0.7045325379731784,0.0
2045-12-12 05:30:00,-1.17758084229,0.22060361712518056,0.24297287988691454,0.662093916761905,0.0
2045-12-12 06:00:00,-1.1318968158900002,0.17190311060090058,0.3509,0.5189140926857,0.0
2045-12-12 06:30:00,-1.1185377354149388,-0.02597820059467193,0.17504793927240003,0.27533507747922586,0.8
2045-12-12 07:00:00,-1.2223064767426581,0.06961079454761121,0.3509,0.3292459733431259,0.8
2045-12-12 07:30:00,-1.6169397472327187,1.1909221163396753,0.3509,-0.042753275002657576,0.8
2045-12-12 08:00:00,-1.5251961000227192,0.6185715557506766,0.3509,0.01406357492094229,0.8
2045-12-12 08:30:00,-3.5715519042060895,1.6434,0.3509,0.344960562099105,0.8
2045-12-12 09:00:00,-1.0564681559108695,0.6007563396608693,0.3509,-1.3596,0.8
2045-12-12 09:30:00,-1.1758998565560002,0.6773530316430001,0.3509,-1.3596,0.8
2045-12-12 10:00:00,-1.0987080795340003,0.6970541010950002,0.3509,-1.3596,0.8
2045-12-12 10:30:00,-1.1229049608240005,0.7201306704389998,0.3509,-1.3596,0.8
2045-12-12 11:00:00,-1.0745700471540003,0.7323054258509999,0.3509,-1.3596,0.8
2045-12-12 11:30:00,-0.8497202296140003,0.5850966446499999,0.3509,-1.3596,0.8
2045-12-12 12:00:00,0.418828792846,0.7336197830110001,0.3509,-1.3596,0.8
2045-12-12 12:30:00,-0.9377862195980002,0.7326767623270001,0.3509,-1.3596,0.8
2045-12-12 13:00:00,-0.9136652287210002,0.752317440107,0.3509,-1.3596,0.8
2045-12-12 13:30:00,0.421733158231,0.7825291464120001,0.3509,-1.3596,0.8
2045-12-12 14:00:00,0.421103860646,0.7906702720650002,0.3509,-1.3596,0.8
2045-12-12 14:30:00,-1.012509886753001,0.7924380794790002,0.3509,-1.3596,0.8
2045-12-12 15:00:00,0.387747514373,0.795605173821,0.3509,-1.3596,0.8
2045-12-12 15:30:00,-1.033137539119,0.7904714759359999,0.3509,-1.3596,0.8
2045-12-12 16:00:00,0.205911709798,0.757994749068,0.3509,-1.3596,0.8
2045-12-12 16:30:00,-0.8002665179100001,0.7085478383120001,0.3509,-1.3596,0.8
2045-12-12 17:00:00,-4.029769886281,1.6434,0.3509,1.0380358612560001,0.8
2045-12-12 17:30:00,-3.9176958904430004,1.6434,0.3509,1.023190939588,0.8
2045-12-12 18:00:00,-0.9460192417469999,0.6976086790759999,0.3509,0.308343580493,0.0
2045-12-12 18:30:00,-1.20346578913,0.6027345182622277,0.3509,0.250473675102,0.0
2045-12-12 19:00:00,-1.2719957693300001,0.7071898089069946,0.0799175800939318,0.4524417924237741,0.0
2045-12-12 19:30:00,-0.9752973386352617,0.38877138198789374,-0.148102485241,0.21685055789,0.0
2045-12-12 20:00:00,-1.35569611192,0.5215166893750918,0.21373467140213415,0.4468670483067741,0.0
2045-12-12 20:30:00,-1.1327365612330782,0.29221437002962714,0.0820317222429855,0.2843323031785523,0.0
2045-12-12 21:00:00,-1.3439602047,0.020408027343330026,0.3509,0.3980929355497741,0.0
2045-12-12 21:30:00,-1.0932986900930786,0.03691878070944976,0.26252388274162897,0.163071459242,0.0
2045-12-12 22:00:00,-1.2907414631599998,0.3242153105505643,0.0805367074544352,0.134120298372,0.0
2045-12-12 22:30:00,-1.25782897646,0.33516978784382734,-0.1409999721,0.0794446260078,0.0
2045-12-12 23:00:00,-1.24245098362,0.05824074743773999,-0.07142816746275496,0.1008480846019999,0.0
2045-12-12 23:30:00,-1.0313199417780194,0.018912760039369925,-0.155664450578,0.3220916578336488,0.0
2045-12-13 00:00:00,-1.3557532341375815,0.08887288990096986,-0.026070449962366987,0.4864093379139788,0.0
2045-12-13 00:30:00,-1.32760723542,0.06835247251671306,0.20295992441828692,0.14918127112900004,0.0
2045-12-13 01:00:00,-1.0129521005530782,0.10895093732607819,-0.139047376392,0.15143415010399996,0.0
2045-12-13 01:30:00,-1.1571600039010883,0.17239053626508927,-0.133928343984,0.11899506525600012,0.0
2045-12-13 02:00:00,-0.9185629054395517,-0.7689870098990483,0.3509,0.08600729898860004,0.0
2045-12-13 02:30:00,-1.1280932571399997,-0.5314857459061566,-0.126456871927,0.0268890466418,0.0
2045-12-13 03:00:00,-1.11016428467,-0.7838252790004607,0.00892793948930641,0.018962637815600036,0.0
2045-12-13 03:30:00,-0.9772302187021835,-0.6032053664834676,-0.07790514712364877,-0.02474833901069995,0.0
2045-12-13 04:00:00,-1.0975532879754004,-0.93517549897199,0.11123313570898549,0.07387970120840492,0.0
2045-12-13 04:30:00,-1.0641158423277148,-0.6817069172455597,-0.123493358907,-0.023968745455279716,0.0
2045-12-13 05:00:00,-0.9407487625001751,-0.8511636294966298,-0.125786647093,0.04202002064980492,0.0
2045-12-13 05:30:00,-1.1705120504700002,-0.856470287341633,-0.05553624579740002,-0.08148319255439995,0.0
2045-12-13 06:00:00,-1.3477562637369216,-1.1957775802665718,0.20028676744772617,-0.06645348109639992,0.8
2045-12-13 06:30:00,-1.0754599704599999,-0.5944090463297111,-0.030236117575599963,-0.3129556350126741,0.8
2045-12-13 07:00:00,-1.5054037826639204,-0.9658121677925362,0.3509,0.38230978608135624,0.8
2045-12-13 07:30:00,-1.1643148326085502,-1.035305889450325,0.3509,0.053225071321942374,0.8
2045-12-13 08:00:00,-1.0393481781797185,-1.1718358939503242,0.3509,0.1696387738949423,0.8
2045-12-13 08:30:00,-0.3293362883652504,-1.6434,0.3509,0.945358879177,0.8
2045-12-13 09:00:00,-0.0002493332422899286,-1.1927552324277102,0.3509,-1.3596,0.8
2045-12-13 09:30:00,-1.8222607311810004,-1.6434,0.3509,0.919274555741,0.8
2045-12-13 10:00:00,0.111631281707,-0.9647234045270001,0.3509,-1.3596,0.8
2045-12-13 10:30:00,0.1692776631020001,-0.8029801372550012,0.3509,-1.3596,0.8
2045-12-13 11:00:00,0.101351232526,-0.4715529061510002,0.3509,-1.3596,0.8
2045-12-13 11:30:00,-0.7354145279069999,-1.6434,0.3509,0.8258008138849999,0.8
